Designator,Mid X,Mid Y,Rotation,Layer
-5V_SW,136.175,-67.5,0.0,top
12V,110.19,-136.4725,0.0,top
5V_SW,181.025,-67.2025,180.0,top
C1,121.65,-103.419888,90.0,top
C10,136.092621,-80.5,90.0,top
C11,131.342621,-80.5,270.0,top
C12,133.842621,-80.25,270.0,top
C13,119.842621,-77.7,90.0,top
C14,122.092621,-95.25,0.0,top
C15,123.092621,-90.2,0.0,top
C16,123.092621,-87.5,0.0,top
C17,180.275,-74.75,270.0,top
C18,176.025,-75.5,90.0,top
C19,172.275,-75.525,270.0,top
C2,134.775,-108.919888,270.0,top
C20,174.275,-75.25,270.0,top
C21,160.525,-71.5,90.0,top
C22,161.525,-89.75,0.0,top
C23,162.775,-81.75,0.0,top
C24,162.775,-84.75,0.0,top
C25,176.275,-108.25,270.0,top
C26,171.775,-109.225,90.0,top
C27,167.775,-109.225,270.0,top
C28,169.775,-108.75,270.0,top
C29,156.025,-106.5,90.0,top
C3,141.525,-108.294888,270.0,top
C30,151.775,-123.5,0.0,top
C31,153.275,-118.5,0.0,top
C32,153.275,-115.75,0.0,top
C33,142.275,-97.5,270.0,top
C34,140.275,-97.04,270.0,top
C35,136.025,-97.544888,270.0,top
C36,141.025,-93.25,90.0,top
C37,141.025,-86.75,270.0,top
C38,144.275,-97.5,270.0,top
C39,149.775,-94.75,270.0,top
C4,137.275,-109.294888,90.0,top
C40,153.775,-95.794888,270.0,top
C41,159.775,-95.794888,270.0,top
C42,154.025,-89.75,270.0,top
C43,152.525,-89.75,270.0,top
C44,150.775,-88.75,270.0,top
C5,132.525,-109.169888,270.0,top
C6,122.9,-116.169888,0.0,top
C7,122.9,-118.919888,0.0,top
C8,121.717621,-123.919888,0.0,top
C9,140.342621,-79.5,270.0,top
D1,129.15,-102.919888,180.0,top
D2,113.0175,-80.25,180.0,top
D3,127.842621,-74.5,180.0,top
D4,113.0575,-84.25,0.0,top
D5,168.275,-69.75,180.0,top
D6,113.0175,-72.0,180.0,top
D7,164.275,-103.25,180.0,top
D8,113.0175,-76.25,180.0,top
D9,113.0175,-68.0,0.0,top
F1,175.5,-130.75,90.0,top
F2,127.0,-132.25,0.0,top
F3,108.75,-131.0,180.0,top
F4,178.5,-59.0,0.0,top
F5,113.5,-95.25,180.0,top
F6,182.25,-92.25,180.0,top
F7,187.25,-130.75,270.0,top
J10,103.25,-62.9,0.0,top
J11,103.25,-75.15,0.0,top
J12,103.25,-87.4,0.0,top
J13,103.25,-99.65,0.0,top
J14,103.25,-119.5,180.0,top
J2,171.19,-59.0275,180.0,top
J3,188.5,-99.25,90.0,top
J5,175.39,-136.4725,0.0,top
J6,189.79,-136.4725,0.0,top
J7,103.25,-144.0,180.0,top
J8,103.25,-131.75,180.0,top
J9,103.25,-58.25,180.0,top
L1,115.4,-106.169888,270.0,top
L2,125.0,-68.0,180.0,top
L3,154.275,-74.25,270.0,top
L4,150.275,-109.25,270.0,top
L5,132.775,-90.5,0.0,top
P1,191.5,-53.0,180.0,top
R1,120.975,-113.169888,0.0,top
R10,161.025,-79.5,0.0,top
R11,163.775,-79.5,0.0,top
R12,113.0375,-72.0,180.0,bottom
R13,172.765,-118.75,180.0,top
R14,156.775,-113.75,0.0,top
R15,159.775,-113.75,0.0,top
R16,113.0375,-76.25,180.0,bottom
R17,141.025,-90.25,90.0,top
R18,138.775,-88.25,90.0,top
R19,149.275,-88.75,270.0,top
R2,124.475,-113.169888,0.0,top
R20,150.275,-91.0,180.0,top
R21,157.775,-92.75,0.0,top
R22,155.525,-92.25,270.0,top
R23,113.0375,-68.0,0.0,bottom
R3,113.0375,-80.25,180.0,bottom
R4,139.775,-118.5,180.0,top
R5,140.951,-72.0,0.0,top
R6,121.832621,-85.0,0.0,top
R7,124.082621,-85.0,0.0,top
R8,113.0375,-84.25,0.0,bottom
R9,176.525,-71.75,180.0,top
SW1,136.175,-123.5,0.0,top
SW4,169.275,-123.5,0.0,top
SW5,192.25,-111.75,90.0,top
SW6,181.025,-85.0,180.0,top
U1,145.585,-92.2,0.0,top
U2,126.35,-109.054888,0.0,top
U3,125.192621,-80.3,0.0,top
U4,165.675,-75.55,0.0,top
U5,161.625,-108.9,0.0,top
Vin,192.25,-125.5,90.0,top
