"ID";"指示符";"封装";"数量";"名称";"供应商和参考";
1;"Vin,SW4,5V_SW,-5V_SW,SW6,SW5,SW1";"SW_Slide_1P2T_CK_OS102011MS2Q";7;"SW_SPDT";;;
2;"C7,C24,C32,C23,C15,C16,C6,C31";"C_1206_3216Metric";8;"47uF";;;
3;"C9,C25,C17,C3";"CP_Radial_D5.0mm_P2.00mm";4;"100u";;;
4;"L2,L1";"L_7.3x7.3_H3.5";2;"15uH";;;
5;"F7,F2,F3,F5,F1,F6,F4";"Fuse_1206_3216Metric";7;"Fuse";;;
6;"J10,J11,J8,J12,J14,J9,J7,J13";"PinHeader_1x04_P2.54mm_Vertical";8;"Conn_01x04";;;
7;"R19,R18";"R_0402_1005Metric";2;"100k";;;
8;"C35,C40,C41";"CP_Radial_D5.0mm_P2.00mm";3;"100u/16v";;;
9;"C4,C10,C19,C26,C18,C27,C5,C11";"C_0603_1608Metric";8;"10uF";;;
10;"U4,U3,U2,U5";"TI_SO-PowerPAD-8_ThermalVias";4;"TPS5430DDA";;;
11;"D8";"LED_1206_3216Metric";1;"-5V";;;
12;"C8,C22,C30,C14";"CP_Radial_D6.3mm_P2.50mm";4;"220uF";;;
13;"J2,12V";"PhoenixContact_MSTBA_2,5_12-G-5,08_1x12_P5.08mm_Horizontal";2;"Conn_01x12";;;
14;"C33,C39,C38,C36";"C_0402_1005Metric";4;"0.1u";;;
15;"U1";"Texas_VQFN-RHL-20";1;"tps61088";;;
16;"C34";"C_0603_1608Metric";1;"10u";;;
17;"R5,R13,R9,R4";"R_0402_1005Metric";4;"10M";;;
18;"R14";"R_0402_1005Metric";1;"22k";;;
19;"D3,D7,D5,D1";"D_SMA";4;"B340";;;
20;"R15";"R_0603_1608Metric";1;"13k";;;
21;"L5";"L_7.3x7.3_H3.5";1;"1.5uH";;;
22;"L3,L4";"L_7.3x7.3_H3.5";2;"22uH";;;
23;"D9";"LED_1206_3216Metric";1;"LED";;;
24;"R22";"R_0402_1005Metric";1;"56k";;;
25;"C13,C21,C1,C29";"C_0402_1005Metric";4;"0.01uF";;;
26;"C28,C20,C12,C2";"C_0402_1005Metric";4;"0.1uF";;;
27;"R10,R6";"R_0402_1005Metric";2;"12k";;;
28;"R21";"R_0402_1005Metric";1;"510k";;;
29;"R17";"R_0603_1608Metric";1;"240k";;;
30;"D6";"LED_1206_3216Metric";1;"5V";;;
31;"R20";"R_0402_1005Metric";1;"47k";;;
32;"C42,C43";"C_0402_1005Metric";2;"22p";;;
33;"P1";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Plug_USB2.0";;;
34;"R2";"R_0603_1608Metric";1;"2.7k";;;
35;"C37";"C_0402_1005Metric";1;"1u";;;
36;"D4";"LED_1206_3216Metric";1;"-12V";;;
37;"J3";"PhoenixContact_MSTBA_2,5_8-G-5,08_1x08_P5.08mm_Horizontal";1;"Conn_01x08";;;
38;"R1";"R_0402_1005Metric";1;"24k";;;
39;"D2";"LED_1206_3216Metric";1;"12V";;;
40;"R7,R11";"R_0402_1005Metric";2;"3.9k";;;
41;"J5,J6";"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal";2;"Conn_01x02";;;
42;"C44";"C_0402_1005Metric";1;"1n";;;
43;"R3,R8";"R_1206_3216Metric";2;"10k";;;
44;"R16,R12,R23";"R_1206_3216Metric";3;"3.3k";;;
